Location of death (city),State,Latitude,Longitude,Agency or agencies involved,Highest level of force
Castro Valley,CA,37.6955895,-122.07398,California Highway Patrol,Vehicle
Santa Cruz,CA,36.9949714,-122.02844,California Highway Patrol,Vehicle
San Francisco,CA,37.7876817,-122.41337,San Francisco Police Department,Vehicle
Los Angeles,CA,34.0325667,-118.34054,Los Angeles Police Department,Vehicle
Highland,CA,34.1213237,-117.24607,San Bernardino Police Department,Vehicle
Los Angeles,CA,34.0008492,-118.35909,Los Angeles Police Department,Vehicle
Colton,CA,34.0764603,-117.31385,Colton Police Department,Vehicle
San Francisco,CA,37.7814322,-122.39728,California Highway Patrol,Vehicle
Atwater,CA,37.3361062,-120.57662,Atwater Police Department,Vehicle
Sacramento,CA,38.580525,-121.4631,Sacramento Police Department,Vehicle
San Francisco,CA,37.745283,-122.40252,California Highway Patrol,Vehicle
Temple City,CA,34.0916045,-118.04281,Arcadia Police Department,Vehicle
Oakland,CA,37.733512,-122.17102,San Leandro Police Department,Vehicle
Danville,CA,37.8301298,-122.00081,Concord Police Department,Vehicle
El Cajon,CA,32.8001859,-116.93052,El Cajon Police Department,Vehicle
Inglewood,CA,33.9458089,-118.34934,,Vehicle
Westley,CA,37.5404719,-121.26601,,Vehicle
Modesto,CA,37.6400588,-120.95837,Modesto Police Department,Vehicle
Modesto,CA,37.6400588,-120.95837,Modesto Police Department,Vehicle
Modesto,CA,37.6400588,-120.95837,Modesto Police Department,Vehicle
Santa Monica,CA,34.0096602,-118.48724,Santa Monica Police Department,Vehicle
Westminster,CA,33.7664246,-118.00077,Westminster Police Department,Vehicle
Antelope,CA,38.7035275,-121.33791,Placer County Sheriff's Office,Vehicle
Antelope,CA,38.7035275,-121.33791,Placer County Sheriff's Office,Vehicle
